area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
newyork,2021-11-30 12:54, (East Village),Large bedroom in a two bedroom,2,,https://newyork.craigslist.org/mnh/roo/d/new-york-large-bedroom-in-two-bedroom/7413640933.html,1350,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:54, (Baisley queens ),Furnished Room with private bathroom available for rent @950,1,,https://newyork.craigslist.org/que/roo/d/jamaica-furnished-room-with-private/7414598377.html,950,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:50, (PPROFESSIONAL MALE bronx ),CLEAN TOTALLY FURNISHED APARTMENT WITH A GYM FOR SHARE,,,https://newyork.craigslist.org/brx/roo/d/clean-totally-furnished-apartment-with/7403449099.html,240,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:50, ( manhattan ),- *_* Large Unfurnished Bedroom / Stuytown,2,115.0,https://newyork.craigslist.org/mnh/roo/d/new-york-large-unfurnished-bedroom/7412525225.html,400,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:49," (EAST NEW YORK, BROOKLYN brooklyn )",FEMALE TENANT WANTED. $75.00 WEEKLY.,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-female-tenant-wanted-7500/7414595980.html,75,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:48, (Williamsburg brooklyn ),{NOW} Williamsburg : Short Term Furnished Room : Block to L !!,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-now-williamsburg-short-term/7412396642.html,1250,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:47, (Bushwick/Ridgewood (154 Woodward Ave) Dekalb/ Jefferson L L queens ),"2 Rooms available in 5br/2ba, ASAP-Dec move in. Laundry.",5,,https://newyork.craigslist.org/que/roo/d/brooklyn-rooms-available-in-5br-2ba/7407935636.html,800,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:47, (Bushwick/Ridgewood (154 Woodward Ave) Dekalb/ Jefferson L brooklyn ),"2 ROOMS LEFT! 5br/2ba, ASAP-DEC move in. Laundry.",5,,https://newyork.craigslist.org/brk/roo/d/brooklyn-rooms-left-5br-2ba-asap-dec/7406624955.html,800,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:45, (Bushwick brooklyn ),"looking for a 4th roommate in  duplex huge 5 bedroom, 3 bathroom apt",5,2000.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-looking-for-4th-roommate-in/7414593297.html,1250,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:42, (Vanderbilt Ave. staten island ),"Furnished, private, room with deck",,600.0,https://newyork.craigslist.org/stn/roo/d/staten-island-furnished-private-room/7414591418.html,1100,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:34, (STATEN ISLAND staten island ),Cozy Private Bedroom,,,https://newyork.craigslist.org/stn/roo/d/staten-island-cozy-private-bedroom/7414586611.html,850,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:34, (Long Island City manhattan ),LIC Luxury Studio Takeover/Sublet (NO FEE),,530.0,https://newyork.craigslist.org/mnh/roo/d/long-island-city-lic-luxury-studio/7414555851.html,2750,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:25, (Bushwick/Ridgewood (154 Woodward Ave) Dekalb L brooklyn ),"Rooms available in 5br/1.5ba, Laundry, ASAP move in",5,,https://newyork.craigslist.org/brk/roo/d/brooklyn-rooms-available-in-5br-15ba/7406104221.html,775,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:24, (STATEN ISLAND staten island ),House Share Seeking a Young Professional Working Female,,,https://newyork.craigslist.org/stn/roo/d/staten-island-house-share-seeking-young/7414516922.html,400,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:13, (Bronx bronx ),Weekly Room,,,https://newyork.craigslist.org/brx/roo/d/bronx-weekly-room/7414570912.html,200,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:10, (New York manhattan ),"Retired, searching for roommate",,,https://newyork.craigslist.org/mnh/roo/d/new-york-retired-searching-for-roommate/7414571844.html,325,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:09, ( manhattan ),Largeee Beautiful Unfurnished Room for Rent.,,,https://newyork.craigslist.org/mnh/roo/d/new-york-largeee-beautiful-unfurnished/7408219896.html,400,2021-11-30 21:23:09+0000
newyork,2021-11-30 12:02, (East Village),EAST VILLAGE PRIVATE ROOM WITH ELEVATOR,,,https://newyork.craigslist.org/mnh/roo/d/east-village-private-room-with-elevator/7414551291.html,1350,2021-11-30 21:23:09+0000
newyork,2021-11-30 11:53, (Harlem / Morningside),3 Bedroom Apartment Share minutes from 1/A/B/C/D Trains!,,,https://newyork.craigslist.org/mnh/roo/d/new-york-bedroom-apartment-share/7403051475.html,850,2021-11-30 21:23:09+0000
