index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price
86,chicago,2021-11-08 11:38, (Nw Chicago / Norridge north chicagoland ),Beautiful Basement Studio ALL Utilities Incl For Quiet Mature Over 50,,,https://chicago.craigslist.org/nch/roo/d/chicago-beautiful-basement-studio-all/7398649992.html,675
87,chicago,2021-11-08 11:35, (Logan Square city of chicago ),Dude and dog seek roomie,3,,https://chicago.craigslist.org/chc/roo/d/chicago-dude-and-dog-seek-roomie/7393538207.html,700
88,chicago,2021-11-08 11:29, (Chicago Lawn city of chicago ),Room Available Now,,,https://chicago.craigslist.org/chc/roo/d/chicago-room-available-now/7405165826.html,550
89,chicago,2021-11-08 11:15, (Chicago Illinois 60614 city of chicago ),One Badroom in 2 BR - Perfect Lakeview Location,1,,https://chicago.craigslist.org/chc/roo/d/chicago-one-badroom-in-br-perfect/7405103517.html,450
90,chicago,2021-11-08 11:01, (Albany Park area - Chicago north chicagoland ),Room for Rent (Male) $500 in Christian Environment,4,,https://chicago.craigslist.org/nch/roo/d/chicago-room-for-rent-male-500-in/7405166072.html,500
91,chicago,2021-11-08 10:54, (Wheeling city of chicago ),Need room mates,2,,https://chicago.craigslist.org/chc/roo/d/buffalo-grove-need-room-mates/7405149607.html,0
92,chicago,2021-11-08 10:51, (Gold Coast / Michigan Ave / River North / Old Town north chicagoland ),"+++++++ GOLD COAST LIVING just $1,300 +++++++1",2,,https://chicago.craigslist.org/nch/roo/d/chicago-gold-coast-living-just/7405153608.html,1300
93,chicago,2021-11-08 10:44, (ELK GROVE VILLAGE northwest suburbs ),Para 1 / UNA PERSONA Cuarto Amueblado con todo incluido,1,110.0,https://chicago.craigslist.org/nwc/roo/d/hanover-park-para-una-persona-cuarto/7403995583.html,700
94,chicago,2021-11-08 10:27, (N. Logan Square city of chicago ),Updated condo & all utilities included,1,,https://chicago.craigslist.org/chc/roo/d/chicago-updated-condo-all-utilities/7405134889.html,675
95,chicago,2021-11-08 10:23, (Chicago north chicagoland ),Looking for roommate- near Brown Line,1,,https://chicago.craigslist.org/nch/roo/d/chicago-looking-for-roommate-near-brown/7405142604.html,650
96,chicago,2021-11-08 09:47, (Albany Park city of chicago ),Studio-Sized Bedroom for Rent - Koreatown,1,275.0,https://chicago.craigslist.org/chc/roo/d/chicago-studio-sized-bedroom-for-rent/7405121234.html,525
97,chicago,2021-11-08 09:41, (Old Town city of chicago ),Large Bedroom Available in 3 bed / 2 bath Unit in Old Town,,1415.0,https://chicago.craigslist.org/chc/roo/d/chicago-large-bedroom-available-in-bed/7405117671.html,1300
98,chicago,2021-11-08 09:36, (Old Town city of chicago ),Amazing Apartment — move in ASAP,,,https://chicago.craigslist.org/chc/roo/d/chicago-amazing-apartment-move-in-asap/7400564537.html,875
99,chicago,2021-11-08 09:36, (Logan Sq north chicagoland ),All-inclusive Logan Sq room available (DEC01),,,https://chicago.craigslist.org/nch/roo/d/chicago-all-inclusive-logan-sq-room/7395834137.html,750
100,chicago,2021-11-08 09:17, (Chicago city of chicago ),Furnished room for rent- walk to blueline,1,,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-room-for-rent-walk-to/7405104445.html,700
101,chicago,2021-11-08 09:06, (Northwest Suburbs west chicagoland ),Private room with attached private bathroom and private entrance $650,,,https://chicago.craigslist.org/wcl/roo/d/elgin-private-room-with-attached/7405098753.html,650
